title;description;info
Investimento em Parque Público de Habitação;"Continuar investimento na qualificação, alargamento e diversificação do parque público de habitação, visando atingir os 5% de parque público."; "Foco na garantia de habitação digna para todos, especialmente para os mais carenciados e a classe média, incluindo jovens."
Política de Única Porta para Habitação;"Criar uma política de única porta para respostas públicas de habitação, evitando a exclusão social."; "Facilitar o acesso a soluções de habitação, integrando serviços para responder às diversas necessidades habitacionais."
Gestão Integrada do Património Público;"Promover a gestão integrada do património público para atender às necessidades setoriais em habitação."; "Utilizar eficientemente o património público para responder às necessidades habitacionais diversificadas."
Apoio à Aquisição de Casa Própria;"Apoiar a aquisição de casa própria com garantias públicas ao financiamento bancário para pessoas até 40 anos sem habitação própria."; "Facilitar o acesso ao crédito para aquisição de casa própria, promovendo a propriedade habitacional entre jovens."
Agravamento de Mais-Valias e Financiamento para Micro-Housing;"Agravar as mais-valias em imóveis não recuperados ou habitados e lançar financiamento para micro-housing."; "Desincentivar a especulação imobiliária e promover soluções de habitação temporária."
Reforço no Investimento dos Bairros Públicos;"Reforçar o investimento na valorização do habitat dos bairros públicos, focando na quebra de barreiras urbanísticas."; "Melhorar a qualidade de vida nos bairros habitacionais públicos, promovendo novas centralidades."
Atualização de Rendas e Ampliação do Porta 65;"Rever fórmula de atualização de rendas e aumentar a abrangência do programa Porta 65."; "Ajustar as rendas à evolução dos salários e expandir o apoio ao arrendamento jovem."
Código do Arrendamento Urbano e Mediação Municipal;"Criar um Código do Arrendamento Urbano unificado e projetos de mediação geridos pelas câmaras."; "Simplificar e equilibrar a legislação do arrendamento e promover a resolução de conflitos habitacionais."
Promoção da Construção Sustentável e Digitalização;"Incentivar a construção verde e a digitalização dos setores da construção, arquitetura e engenharia."; "Fomentar práticas sustentáveis e inovadoras na construção e melhorar a qualificação dos profissionais do setor."
Concretização do Código da Construção;"Finalizar a elaboração do Código da Construção até 2026, promovendo normas claras e modernas."; "Estabelecer um marco legal atualizado e abrangente para o setor da construção, visando a sustentabilidade e a inovação."
